,detected_matches,valid_matches,inlier_rate,detection_time,EulerZ_error(degree),EulerY_error(degree),EulerX_error(degree),t1_error(m),t2_error(m),t3_error(m),delta_R(Rodrigues),delta_T(degree)
59,4255,4255,1.0,0.2561284619878279,-0.04699564367772799,0.4579587871401238,0.15283730130909703,0.00033835578206622085,-0.0013756770243253402,-0.00976986666959063,0.4850118908506121,85.03068391932831
60,4256,4091,0.9612312030075187,0.23868468300497625,-0.13780597219003685,0.42017102790497934,0.08479543699851727,0.0002112667191284851,-0.0012967894679296612,-0.008170478217179087,0.45015400854910226,83.36693820182178
61,4256,4256,1.0,0.2245836420042906,-0.13495411336075802,0.39880991416787454,-0.026179949567504364,0.0002492667191284676,-0.0012587894679294566,-0.00647347821717914,0.4218671187527697,83.4800536504812
62,4256,4256,1.0,0.22122354699240532,-0.04172558195598701,0.4017053393489249,-0.14988603988751228,0.0006146571972743141,-0.0018400037598320304,-0.004030226063783669,0.43083381540269855,79.70337064296946
63,4255,4255,1.0,0.23848007200285792,-0.14391960610997667,0.3542404284156275,-0.2058445136045105,0.00039130411075557147,-0.00011181591751434583,-0.0036286327891495475,0.4344583253242784,17.83605464549413
64,4256,4256,1.0,0.8551781040005153,-0.03348834270797174,0.13545884972133568,-0.1665158811679679,0.0006178558841562829,-0.0020135442356793046,-0.0004365638359371619,0.21728156119945757,53.42624454318731
65,4256,4256,1.0,0.406513840003754,0.00948936745364423,0.034598573882733706,-0.1895817222902135,0.0006798558841569555,-0.0021065442356792033,0.0016534361640627633,0.19294364727201288,83.50572709857188
66,4256,4256,1.0,0.2780321819882374,0.04288754820929862,-0.06490750409718969,-0.19425988692958976,0.0007108558841559595,-0.002315544235679107,0.00386943616406287,0.20928129732509052,78.51146931944255
67,4256,4256,1.0,0.2573050889914157,-0.08798146948315314,-0.2215290013094233,-0.0846075726257092,0.0001583269070895951,-4.0068080752697806e-05,0.0063991526735795844,0.2528744304778799,65.24120439871943
68,4256,4256,1.0,0.2569157669931883,-0.02801209192151609,-0.31624696695340104,-0.05689503335227203,0.0007785677717545658,-0.002715325324923106,0.008954693665922185,0.32252916017444744,69.67406761923085
69,4256,4256,1.0,0.24930101798963733,0.021635314760897605,-0.33427774434360474,-0.12471670099803187,0.000963842439255475,-0.0026217600808871684,0.0111485594583137,0.3574627946306877,59.43194148494081
70,4256,4256,1.0,0.22266004000266548,0.02586409359968376,-0.3830809639562203,-0.15361767643428095,0.0007840695945004822,-0.0029715071358568813,0.012595036343738172,0.4135756770913567,79.77034014666687
71,4256,4256,1.0,0.222029778000433,0.04997692579362134,-0.49120331781010096,-0.10812732519934182,0.0007950695945002434,-0.0030305071358571346,0.014532036343738139,0.5054860544598123,80.4820760867063
72,4242,4242,1.0,0.45702112499566283,0.024059734405437006,-0.6052460735380564,-0.24781216134321296,-0.0005966291824061384,-0.0009181637564585259,0.013123791866062235,0.6545035929410804,21.77914257302398
73,4191,4191,1.0,0.8602628929947969,0.08957995777959998,-0.5422218827532019,-0.5942166825661616,0.0014020316755650362,0.0016381446064072406,0.0186566828960325,0.8097058614182818,66.33486548291548
74,4254,4254,1.0,0.2878036979964236,0.10076572877005198,-0.6956164692838721,-0.32092949515543406,0.0004995142041055707,-0.0009939719442024716,0.014574684089583977,0.772931398286994,2.2057679391320746
75,3059,3049,0.996730957829356,0.22960443500778638,-0.04009056650225513,-0.7056737875601174,-0.7404949132688721,0.002149182159856329,0.003009300142503049,0.02125089206084155,1.0234954113971573,60.54131338189086
76,2017,1505,0.7461576598909271,0.1769947129942011,-1.5621778764746006,-0.4654613818067734,-4.789909108049986,0.02324360981043173,0.05454302350643783,0.04106691593637681,5.0535071056931375,70.6569072664839
77,1225,551,0.44979591836734695,0.16137705401342828,-3.0938955950530977,-5.261501703906505,-5.7355283066082965,-0.3051265647940233,0.04407443215626727,0.052158095356012464,8.275536477479466,83.78339617385356
78,110,75,0.6818181818181818,0.12172851100331172,-0.5166456044306873,0.7416519312846735,-0.8645449616248821,-0.012790888809149173,0.04403932308046526,-0.03560964461252422,1.2530645478000495,39.9990613371494
79,171,105,0.6140350877192983,0.13064388200291432,0.08322443156531235,-0.571799510151866,-0.2473441912670234,-0.023455638497103467,0.05543291747955072,0.02303577970675492,0.6287010365914166,84.53398755910204
80,718,487,0.6782729805013927,0.1358048520050943,0.18016421425674414,0.48081496802467455,0.5464031165388743,0.004269210963297473,0.0018790031407755394,-0.01491601733117863,0.7503482279413204,7.673811596121365
81,793,431,0.5435056746532156,0.15089689299929887,1.1386475261560047,0.44744198847014305,2.186740210013477,0.018009681718210095,0.00657753351359034,-0.036462441476772606,2.5095441152593585,19.017287785091536
82,979,704,0.7191011235955056,0.13913179699738976,0.06464173240464785,-0.34970802552137553,0.6131758613905377,-0.0015575592654105445,-0.0012870740438933447,-0.002195595741044387,0.7086718199904413,6.359768970486234
83,804,340,0.4228855721393035,0.1483506340009626,2.114388086574666,0.5742859725324916,5.452465292576114,0.020785345337604375,-0.12175874838770345,-0.011302637441067034,5.885721019967524,74.48741350641875
84,1266,732,0.5781990521327014,0.1652965950052021,0.2212657511045025,0.6372105264803429,0.7006872837633394,0.01551515898276384,0.003041019432687495,-0.005643163344163371,0.9734867878592876,38.196991481655985
85,1322,803,0.6074130105900152,0.14928808200056665,0.04419200129291657,0.7435582438653686,1.6029025010832112,0.014016757517057851,-0.02917381048621504,-0.0030596921476368187,1.767770142976759,61.47796845577781
86,1062,793,0.7467043314500942,0.17412381399481092,0.7142243994472024,0.16593386689912323,-0.027523562275504537,0.012275205117818702,-0.010216413355671897,-0.004838325413807042,0.7337239189034099,42.82613826929536
87,1880,1539,0.8186170212765957,0.18226332000631373,0.17672857241290155,1.0865467757092622,0.9856466923682308,0.019326489701499555,-0.016429906230056374,-0.003847507070434457,1.4787118750026367,58.164510580645285
88,1152,770,0.6684027777777778,0.15857682800560724,0.20970761113134212,-3.1334349202576455,1.5554466688176871,-0.0584569505518876,-0.011655485611325723,-0.029339792576292337,3.5019066866673265,61.279723539772476
89,1876,1557,0.829957356076759,0.17708085100457538,-0.06085490494097395,0.6351051583107802,1.7227839177537418,0.008929194030350841,-0.019919970455936485,-0.005475350990299478,1.836805238967932,59.324479697073635
90,1300,1098,0.8446153846153847,0.14252842600399163,-0.8509768031646243,0.6395614530436086,0.46732702740194093,0.003402024522315917,-0.012591310210644335,-0.013568202706855152,1.1606644591115403,31.630240489600446
91,1198,907,0.7570951585976627,0.16302491500391625,-0.9465070644502734,0.41418327409577577,1.229752021936119,0.0018362778117541117,-0.02792694043775973,-0.014422395956166963,1.6035131410212187,54.74665929178662
92,1110,854,0.7693693693693694,0.16077607800252736,0.5702726439367006,0.27037318578755487,1.1838950347578747,0.009612521815348619,-0.012973103402958363,-0.011898532566673212,1.3427922995307013,31.487707177098663
93,1307,1056,0.8079571537872992,0.15538471500622109,0.924142332737097,0.4377379167439538,0.9244768523673655,0.016216533438700553,-0.004027536520637824,-0.021283216224532914,1.3808733969851503,73.42140208169305
94,1546,1125,0.7276843467011643,0.23101129299902823,2.3282160233666214,-0.24092462169086115,0.6291466029895749,0.012648572190503393,-0.06727268451431138,-0.014142707993495773,2.422444550932725,79.08255567535222
95,1600,1146,0.71625,0.15611884200188797,-1.598772954066847,0.06442515128882083,1.1939584776875625,-0.02104162592657384,-0.0028732904502823346,-0.027117029162650918,1.9958765233239115,42.78605752107106
96,1297,950,0.7324595219737856,0.16181072600011248,-2.793931227279767,2.7470466891696423,-0.9826501477143079,0.024781390003962536,0.0010227131952668862,-0.03815221863612774,4.055573676264331,41.07867727326109
97,1610,1264,0.7850931677018633,0.2066828630049713,1.4931756556041933,0.7614471043793418,0.2632881929282057,-0.037085243360307815,-0.018076203230525185,-0.032163012157135504,1.6981998766351047,62.981917780415046
98,1537,1085,0.7059206245933637,0.2144774289918132,1.9966758925782813,1.1628103481616276,0.36710478616737047,-0.03254667054660415,0.04191428780823163,-0.025828875292712297,2.342718349867241,80.80703271354024
